"b" , "c" , "year" , "r" , "b_err"
"1" , 10000 , 3423.82092407755 , 1 , 0.2 , 9292.46201679832
"2" , 6576.17907592245 , 2069.56529857886 , 2 , 0.2 , 5616.9283834578
"3" , 5035.39756574781 , 2636.36461603641 , 3 , 0.2 , 7155.25683153239
"4" , 3044.67312434418 , 749.969426623478 , 4 , 0.2 , 2035.46346762756
"5" , 2939.16921180328 , 734.550773137384 , 5 , 0.2 , 1993.61628722682
"6" , 2843.03724291044 , 484.232037790326 , 6 , 0.2 , 1314.23573786814
"7" , 2991.0953753651 , 191.809413973677 , 7 , 0.2 , 520.582627812214
"8" , 3440.76845995676 , 1055.06068750377 , 8 , 0.2 , 2863.50004321191
"9" , 3046.84912535422 , 1666.30039558569 , 9 , 0.2 , 4522.44246352566
"10" , 2025.13160913669 , 995.908726696055 , 10 , 0.2 , 2702.95795844358
"11" , 1582.90993452614 , 181.146587128337 , 11 , 0.2 , 491.643055431188
"12" , 1889.84137479289 , 855.682705973938 , 12 , 0.2 , 2322.37585434942
"13" , 1569.71393599874 , 120.846842531556 , 13 , 0.2 , 327.985814379892
"14" , 1934.69250874324 , 1269.87099400136 , 14 , 0.2 , 3446.50851772302
"15" , 1206.56783267585 , 430.053559575878 , 15 , 0.2 , 1167.19199285355
"16" , 1192.65451513262 , 205.014985470455 , 16 , 0.2 , 556.423366643199
"17" , 1400.79140908624 , 580.758170544621 , 17 , 0.2 , 1576.2136397905
"18" , 1275.35375419435 , 194.161967845398 , 18 , 0.2 , 526.96760470797
"19" , 1511.73991355852 , 426.28284768715 , 19 , 0.2 , 1156.95804727658
"20" , 1561.16658760657 , 777.270422438543 , 20 , 0.2 , 2109.56006095351
"21" , 1268.25270971397 , 562.426271285723 , 21 , 0.2 , 1526.45972995219
"22" , 1134.9149273859 , 556.60142900022 , 22 , 0.2 , 1510.65074727111
"23" , 978.789021061155 , 353.427110829059 , 23 , 0.2 , 959.223065666215
"24" , 989.219195256712 , 301.924130519258 , 24 , 0.2 , 819.440787651869
"25" , 1053.71076359117 , 391.25906870244 , 25 , 0.2 , 1061.90134217515
"26" , 1044.32270236794 , 110.330989679786 , 26 , 0.2 , 299.445138519155
"27" , 1313.65117086253 , 500.801972322064 , 27 , 0.2 , 1359.20756632278
"28" , 1251.16179232691 , 640.881117985027 , 28 , 0.2 , 1739.39104241078
