"b","c","year","f","f_ratio","f_ratio_err","id","r_0","error","hcr","b_0"
1500,0,1,0,1.89446742648821,2.01093900134206,1,0.1,0.3,0.8,1500
1736.80842831103,0,2,0,0,2.01093900134206,1,0.1,0.3,0.8,1500
1993.32412149458,0,3,0,0,2.01093900134206,1,0.1,0.3,0.8,1500
2268.1086732417,0,4,0,0,2.01093900134206,1,0.1,0.3,0.8,1500
2559.28128917245,0,5,0,0,0,1,0.1,0.3,0.8,1500
2864.57947032423,0,6,0,0,0,1,0.1,0.3,0.8,1500
3181.43732125953,0,7,0,0,0,1,0.1,0.3,0.8,1500
3507.07580661591,0,8,0,0,0,1,0.1,0.3,0.8,1500
3838.59867428283,0,9,0,0,0,1,0.1,0.3,0.8,1500
4173.08782089163,0,10,0,0,0,1,0.1,0.3,0.8,1500
4507.69251763414,0,11,0,0,0,1,0.1,0.3,0.8,1500
4839.70799508986,0,12,0,0,0,1,0.1,0.3,0.8,1500
5166.64022300023,0,13,0,0,0,1,0.1,0.3,0.8,1500
5486.25513103514,0,14,0,0,0,1,0.1,0.3,0.8,1500
5796.61184086378,0,15,0,0,0,1,0.1,0.3,0.8,1500
6096.08060180598,0,16,0,0,0,1,0.1,0.3,0.8,1500
6383.34697421957,0,17,0,0,0,1,0.1,0.3,0.8,1500
6657.40436482573,0,18,0,0,0,1,0.1,0.3,0.8,1500
6917.53730181516,0,19,0,0,0,1,0.1,0.3,0.8,1500
7163.29788562336,0,20,0,0,0,1,0.1,0.3,0.8,1500
7394.47771793731,0,21,0,0,0,1,0.1,0.3,0.8,1500
7611.07735424749,0,22,0,0,0,1,0.1,0.3,0.8,1500
7813.27499729284,0,23,0,0,0,1,0.1,0.3,0.8,1500
8001.39579449966,0,24,0,0,0,1,0.1,0.3,0.8,1500
8175.88275568058,0,25,0,0,0,1,0.1,0.3,0.8,1500
8337.26999076347,0,26,0,0,0,1,0.1,0.3,0.8,1500
8486.15869454521,0,27,0,0,0,1,0.1,0.3,0.8,1500
8623.19608210977,0,28,0,0,0,1,0.1,0.3,0.8,1500
8749.05730466759,0,29,0,0,0,1,0.1,0.3,0.8,1500
8864.43024746822,0,30,0,0,0,1,0.1,0.3,0.8,1500
8970.00302325808,0,31,0,0,0,1,0.1,0.3,0.8,1500
9066.45391971976,0,32,0,0,0,1,0.1,0.3,0.8,1500
9154.44353059456,0,33,0,0,0,1,0.1,0.3,0.8,1500
9234.60879140089,0,34,0,0,0,1,0.1,0.3,0.8,1500
9307.5586462645,0,35,0,0,0,1,0.1,0.3,0.8,1500
9373.87108773961,0,36,0,0,0,1,0.1,0.3,0.8,1500
9434.0913329229,0,37,0,0,0,1,0.1,0.3,0.8,1500
9488.7309237973,0,38,0,0,0,1,0.1,0.3,0.8,1500
9538.2675654927,0,39,0,0,0,1,0.1,0.3,0.8,1500
9583.14554153516,0,40,0,0,0,1,0.1,0.3,0.8,1500
9623.77656919554,0,41,0,0,0,1,0.1,0.3,0.8,1500
9660.5409801419,0,42,0,0,0,1,0.1,0.3,0.8,1500
9693.78913143818,0,43,0,0,0,1,0.1,0.3,0.8,1500
9723.84296940695,0,44,0,0,0,1,0.1,0.3,0.8,1500
9750.99768402147,0,45,0,0,0,1,0.1,0.3,0.8,1500
9775.52340443951,0,46,0,0,0,1,0.1,0.3,0.8,1500
9797.66689721816,0,47,0,0,0,1,0.1,0.3,0.8,1500
9817.65323786376,0,48,0,0,0,1,0.1,0.3,0.8,1500
9835.68743389022,0,49,0,0,0,1,0.1,0.3,0.8,1500
9851.95598369386,0,50,0,0,0,1,0.1,0.3,0.8,1500
9866.62836050273,0,51,0,0,0,1,0.1,0.3,0.8,1500
9879.85841460556,0,52,0,0,0,1,0.1,0.3,0.8,1500
9891.78569017175,0,53,0,0,0,1,0.1,0.3,0.8,1500
9902.53665538392,0,54,0,0,0,1,0.1,0.3,0.8,1500
9912.22584644072,0,55,0,0,0,1,0.1,0.3,0.8,1500
9920.9569273568,0,56,0,0,0,1,0.1,0.3,0.8,1500
9928.82366847948,0,57,0,0,0,1,0.1,0.3,0.8,1500
9935.9108473315,0,58,0,0,0,1,0.1,0.3,0.8,1500
9942.29507584094,0,59,0,0,0,1,0.1,0.3,0.8,1500
9948.04555828324,0,60,0,0,0,1,0.1,0.3,0.8,1500
9953.22478438002,0,61,0,0,0,1,0.1,0.3,0.8,1500
9957.88916200821,0,62,0,0,0,1,0.1,0.3,0.8,1500
9962.08959390046,0,63,0,0,0,1,0.1,0.3,0.8,1500
9965.8720025846,0,64,0,0,0,1,0.1,0.3,0.8,1500
9969.27780763518,0,65,0,0,0,1,0.1,0.3,0.8,1500
9972.34435910705,0,66,0,0,0,1,0.1,0.3,0.8,1500
9975.10533080097,0,67,0,0,0,1,0.1,0.3,0.8,1500
9977.59107678224,0,68,0,0,0,1,0.1,0.3,0.8,1500
9979.82895434271,0,69,0,0,0,1,0.1,0.3,0.8,1500
9981.84361636762,0,70,0,0,0,1,0.1,0.3,0.8,1500
9983.65727584682,0,71,0,0,0,1,0.1,0.3,0.8,1500
9985.28994505545,0,72,0,0,0,1,0.1,0.3,0.8,1500
9986.75965172598,0,73,0,0,0,1,0.1,0.3,0.8,1500
9988.08263434085,0,74,0,0,0,1,0.1,0.3,0.8,1500
9989.27351849418,0,75,0,0,0,1,0.1,0.3,0.8,1500
9990.34547610277,0,76,0,0,0,1,0.1,0.3,0.8,1500
9991.31036908946,0,77,0,0,0,1,0.1,0.3,0.8,1500
9992.17887901738,0,78,0,0,0,1,0.1,0.3,0.8,1500
9992.96062401946,0,79,0,0,0,1,0.1,0.3,0.8,1500
9993.6642642448,0,80,0,0,0,1,0.1,0.3,0.8,1500
9994.29759693034,0,81,0,0,0,1,0.1,0.3,0.8,1500
9994.86764210322,0,82,0,0,0,1,0.1,0.3,0.8,1500
9995.38071982468,0,83,0,0,0,1,0.1,0.3,0.8,1500
9995.84251979994,0,84,0,0,0,1,0.1,0.3,0.8,1500
9996.2581641006,0,85,0,0,0,1,0.1,0.3,0.8,1500
9996.63226367414,0,86,0,0,0,1,0.1,0.3,0.8,1500
9996.96896925072,0,87,0,0,0,1,0.1,0.3,0.8,1500
9997.27201719831,0,88,0,0,0,1,0.1,0.3,0.8,1500
9997.54477082389,0,89,0,0,0,1,0.1,0.3,0.8,1500
9997.79025757023,0,90,0,0,0,1,0.1,0.3,0.8,1500
9998.01120251371,0,91,0,0,0,1,0.1,0.3,0.8,1500
9998.21005852919,0,92,0,0,0,1,0.1,0.3,0.8,1500
9998.38903345201,0,93,0,0,0,1,0.1,0.3,0.8,1500
9998.55011453486,0,94,0,0,0,1,0.1,0.3,0.8,1500
9998.69509046788,0,95,0,0,0,1,0.1,0.3,0.8,1500
9998.825571204,0,96,0,0,0,1,0.1,0.3,0.8,1500
9998.94300580764,0,97,0,0,0,1,0.1,0.3,0.8,1500
9999.04869852327,0,98,0,0,0,1,0.1,0.3,0.8,1500
9999.14382324096,0,99,0,0,0,1,0.1,0.3,0.8,1500
9999.22943651853,0,100,0,0,0,1,0.1,0.3,0.8,1500
4000,267.914868157003,1,0.0669787170392508,1.00468075558876,1.15261379523566,2,0.1,0.3,0.8,4000
4066.97871703925,272.401016693227,2,0.0669787170392508,0.803744604471009,1.15261379523566,2,0.1,0.3,0.8,4000
4129.44686057754,276.585052803245,3,0.0669787170392508,0.803744604471009,1.15261379523566,2,0.1,0.3,0.8,4000
4187.60850388222,280.480645052688,4,0.0669787170392508,0.803744604471009,1.15261379523566,2,0.1,0.3,0.8,4000
4241.6750934512,298.307053649541,5,0.0703276528912133,0.803744604471009,0.688820659293421,2,0.1,0.3,0.8,4000
